,country_name,marine_protection_percent,biodiversity_percent,FAOSTAT,Aqua_Production,Fishland,Hours
0,Afghanistan,,,6.62,,,117.53222222222222
1,Albania,,68.69272727272727,1.2704444444444445,,,7237.54
2,Algeria,,76.38545454545455,12.4025,,,
3,American Samoa,8.68,14.31,,,,
4,Andorra,,,,,,
5,Angola,,66.58,73.08166666666666,,,32110.206666666665
6,Antigua and Barbuda,,28.94636363636364,0.5816666666666667,,,
7,Argentina,36.744166666666665,40.837272727272726,90.59,3219.9768181818185,764230.9585454545,412975.36555555556
8,Armenia,,,5.051,,,
9,Australia,20.337500000000002,61.345454545454544,29.205000000000002,87951.93418181819,165548.1122090909,74991.45666666667
10,Austria,,,1.842,3494.590272727273,,
11,Azerbaijan,,,0.49333333333333335,,,23.29111111111111
12,Bahamas,,20.69,1.62075,,,
13,Bahrain,,0.0,,,,458.53222222222223
14,Bangladesh,,34.46090909090909,403.85033333333337,2040933.5454545454,,
15,Barbados,,2.85,0.32416666666666666,,,
16,Belarus,,,6.598000000000001,,,
17,Belgium,34.13666666666667,94.01,3.116875,177.27272727272728,21484.67918181818,123393.37999999999
18,Belize,,30.486363636363635,17.24811111111111,,,8403.79111111111
19,Benin,,0.0,5.819999999999999,,,
20,Bhutan,,,,,,
21,Bolivia,,,,,,28.162222222222223
22,Bosnia and Herzegovina,,,1.14825,,,
23,Botswana,,,0.257,,,
24,Brazil,10.036666666666667,63.091818181818184,141.58088888888886,533571.4926363636,513300.5384545455,68098.12777777779
25,Brunei,,,,,,9.713333333333333
26,Bulgaria,7.235,99.65,2.3416666666666663,,,14306.943333333333
27,Burkina Faso,,,10.156,,,
28,Burundi,,,20.334999999999997,,,
29,Cambodia,,43.948181818181816,82.50144444444445,,,
30,Cameroon,,,27.058999999999997,,,10275.995555555555
31,Canada,3.25,32.97909090909091,105.8905,177642.27272727274,830205.8153181818,155398.72555555555
32,Central African Republic,,,15.3335,,,
33,Chad,,,52.947,,,
34,Chile,17.595000000000002,25.21,361.6655,1141728.8797272728,2551881.4545454546,23089.848888888886
35,Colombia,10.0175,54.24454545454546,24.962142857142858,112660.15045454545,45156.43442777778,
36,Comoros,,13.0,5.4208,,,6317.973333333332
37,Costa Rica,2.6816666666666666,48.64909090909091,4.983625,24192.95,15555.6143,
38,Croatia,6.7749999999999995,63.685454545454554,10.5485,,,110577.05888888889
39,Cuba,,68.68727272727273,5.887222222222222,,,416.03666666666663
40,Cyprus,8.575000000000001,43.192727272727275,1.1966666666666668,,,11101.325555555555
